idAnime,name,type,episodes,status,idStudios,studios,idGenres,genres,score,idRanking,ranked
122988,Kuroko no Basket 2nd Season NG-shuu,Special,9,Finished Airing,abc1218,Production I.G,D284,"['Comedy', 'Sports']",7.71,112817,#1212
123099,Princess Principal: Crown Handler Movie 2,Movie,1,Finished Airing,abc1219,Actas,D285,"['Action', 'Mystery']",7.71,112918,#1217
123210,Tsuki ga Michibiku Isekai Douchuu,TV,12,Finished Airing,abc1220,C2C,D286,"['Action', 'Adventure', 'Comedy', 'Fantasy']",7.71,113019,#1222
123321,Xingchen Bian 5th Season,ONA,28,Finished Airing,abc1221,Foch Films,D287,"['Action', 'Adventure', 'Fantasy', 'Romance']",7.7,113120,#1226
123432,BanG Dream! Film Live,Movie,1,Finished Airing,abc1222,SANZIGEN,D288,[],7.7,113221,#1229
123543,BanG Dream! Garupa☆Pico Fever!,ONA,26,Finished Airing,abc1223,SANZIGEN,D289,[],7.7,113322,#1230
123654,Haikyuu!! Lev Genzan!,OVA,1,Finished Airing,abc1224,Production I.G,D290,[],7.7,113423,#1234
123765,Keroro Gunsou,TV,358,Finished Airing,abc1225,Sunrise,D291,"['Comedy', 'Sci-Fi']",7.7,113524,#1236
123876,Meitantei Conan Movie 16: 11-ninme no Striker,Movie,1,Finished Airing,abc1226,TMS Entertainment,D292,"['Adventure', 'Comedy', 'Mystery', 'Sports']",7.7,113625,#1239
123987,One Punch Man: Road to Hero,OVA,1,Finished Airing,abc1227,Madhouse,D293,"['Action', 'Comedy']",7.7,113726,#1243
124098,Junjou Romantica OVA,OVA,2,Finished Airing,abc1228,Studio Deen,D294,"['Boys Love', 'Comedy', 'Drama']",7.69,113827,#1246
124209,Love Live! Superstar!! 2nd Season,TV,12,Finished Airing,abc1229,Sunrise,D295,[],7.69,113928,#1248
124320,Mahouka Koukou no Rettousei: Tsuioku-hen,TV Special,1,Finished Airing,abc1230,8bit,D296,"['Action', 'Fantasy', 'Sci-Fi']",7.69,114029,#1250
124431,Mahou Shoujo ni Akogarete,TV,13,Finished Airing,abc1231,Asahi Production,D297,"['Action', 'Comedy', 'Fantasy', 'Girls Love', 'Ecchi']",7.69,114130,#1249
124542,Karakai Jouzu no Takagi-san,TV,12,Finished Airing,abc1232,Shin-Ei Animation,D298,[],7.69,114231,#1247
124653,Junjou Romantica 2,TV,12,Finished Airing,abc1233,Studio Deen,D299,"['Boys Love', 'Comedy', 'Drama']",7.69,114332,#1245
124764,Psycho-Pass Movie,Movie,1,Finished Airing,abc1234,Production I.G,D300,"['Action', 'Sci-Fi']",7.7,114433,#1244
124875,One Punch Man Specials,Special,6,Finished Airing,abc1235,Madhouse,D301,"['Action', 'Comedy']",7.7,114534,#1242
124986,Nurarihyon no Mago OVA,OVA,2,Finished Airing,abc1236,Studio Deen,D302,"['Action', 'Supernatural']",7.7,114635,#1241
125097,New Game!!,TV,12,Finished Airing,abc1237,Doga Kobo,D303,[],7.7,114736,#1240
125208,Macross Plus Movie Edition,Movie,1,Finished Airing,abc1238,Triangle Staff,D304,"['Action', 'Adventure', 'Romance', 'Sci-Fi']",7.7,114837,#1238
125319,Kyousou Giga (TV),TV,10,Finished Airing,abc1239,Toei Animation,D305,"['Action', 'Fantasy']",7.7,114938,#1237
125430,IDOLiSH7,TV,17,Finished Airing,abc1240,TROYCA,D306,[],7.7,115039,#1235
125541,Gekkan Shoujo Nozaki-kun Specials,Special,6,Finished Airing,abc1241,Doga Kobo,D307,"['Comedy', 'Romance']",7.7,115140,#1233
125652,Chuunibyou demo Koi ga Shitai!,TV,12,Finished Airing,abc1242,Kyoto Animation,D308,"['Comedy', 'Romance']",7.7,115241,#1232
125763,Bishoujo Senshi Sailor Moon Cosmos Movie,Movie,2,Finished Airing,abc1243,Toei Animation,D309,[],7.7,115342,#1231
125874,Asagao to Kase-san.,OVA,1,Finished Airing,abc1244,Zexcs,D310,[],7.7,115443,#1228
125985,"Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan: Dakara, Shishunki wa Owarazu ni, Seishun wa Tsuzuiteiku.",OVA,1,Finished Airing,abc1245,feel.,D311,"['Comedy', 'Romance']",7.7,115544,#1227
126096,Uramichi Oniisan,TV,13,Finished Airing,abc1246,Studio Blanc.,D312,[],7.7,115645,#1225
126207,The iDOLM@STER Cinderella Girls: U149,TV,12,Finished Airing,abc1247,CygamesPictures,D313,[],7.7,115746,#1224
126318,Urusei Yatsura,TV,195,Finished Airing,abc1248,Pierrot,D314,"['Comedy', 'Romance', 'Sci-Fi']",7.71,115847,#1223
126429,Tetsuwan Birdy Decode:02,TV,12,Finished Airing,abc1249,A-1 Pictures,D315,"['Action', 'Comedy', 'Sci-Fi']",7.71,115948,#1221
126540,Tenshi no Tamago,OVA,1,Finished Airing,abc1250,Studio Deen,D316,"['Avant Garde', 'Drama', 'Fantasy']",7.71,116049,#1220
126651,School Rumble: Ichi Gakki Hoshuu,OVA,2,Finished Airing,abc1251,Studio Comet,D317,"['Comedy', 'Romance']",7.71,116150,#1219
126762,Rozen Maiden: Ouvertüre,TV Special,2,Finished Airing,abc1252,Nomad,D318,"['Action', 'Comedy', 'Drama', 'Fantasy']",7.71,116251,#1218
126873,One Piece: Episode of Sabo - 3 Kyoudai no Kizuna Kiseki no Saikai to Uketsugareru Ishi,TV Special,1,Finished Airing,abc1253,Toei Animation,D319,"['Action', 'Adventure', 'Fantasy']",7.71,116352,#1216
126984,Ojamajo Doremi Dokkaan!,TV,51,Finished Airing,abc1254,Toei Animation,D320,"['Comedy', 'Fantasy']",7.71,116453,#1215
127095,Noragami OVA,OVA,2,Finished Airing,abc1255,Bones,D321,"['Comedy', 'Fantasy']",7.71,116554,#1214
127206,Macross Plus,OVA,4,Finished Airing,abc1256,Triangle Staff,D322,"['Action', 'Drama', 'Romance', 'Sci-Fi']",7.71,116655,#1213
127317,Joshikousei no Mudazukai,TV,12,Finished Airing,abc1257,Passione,D323,[],7.71,116756,#1210
127428,Fanren Xiu Xian Chuan: Xinghai Feichi Pian Xuzhang,ONA,4,Finished Airing,abc1258,Original Force,D324,"['Action', 'Adventure', 'Fantasy']",7.71,116857,#1207
127539,Enen no Shouboutai,TV,24,Finished Airing,abc1259,David Production,D325,"['Action', 'Fantasy', 'Sci-Fi']",7.71,116958,#1206
127650,Death Note: Rewrite,TV Special,2,Finished Airing,abc1260,Madhouse,D326,"['Supernatural', 'Suspense']",7.71,117059,#1205
127761,Daicon Opening Animations,Special,2,Finished Airing,abc1261,Gainax,D327,"['Action', 'Adventure', 'Sci-Fi']",7.71,117160,#1204
127872,"Yuru Yuri,",OVA,1,Finished Airing,abc1262,Lay-duce,D328,"['Comedy', 'Girls Love']",7.69,117261,#1258
127983,Bakuten!! Movie,Movie,1,Finished Airing,abc1263,Zexcs,D329,[],7.69,117362,#1260
